Disease,NCT Number,Study Title,Study URL,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age,Phases,Locations,Principal_Investigators
POTS (Postural Orthostatic Tachycardia Syndrome),NCT04875949,"Anti-Cholinergic Receptors Antibodies, Autonomic Profile and Dysautonomia Symptoms in PAF, ALS and POTS (DISAUT-AB)",https://clinicaltrials.gov/study/NCT04875949,Pure Autonomic Failure|Amyotrophic Lateral Sclerosis|Postural Orthostatic Tachycardia Syndrome|Anti-Cholinergic Receptors Antibodies,PROCEDURE: Immunoabsorption/plasmapheresis procedure,"Prevalence of plasma anti-AChR Abs in PAF, ALS and POTS, Number of patients with plasma anti-AChR Abs, 3 years|Effects of anti-AChR Abs removal on dysautonomic symptoms, COMPASS31 scores (range 0-100; 0 best -100 worst), 3 years|Time course of dysautonomia symptoms, COMPASS31 scores (range: 0-100; 0 best-100 worst), 3 years|Time course of orthostatic tolerance, Orthostatic tolerance (minutes), 3 years",,,ALL,"ADULT, OLDER_ADULT",NA,"Humanitas Research Hospital, Rozzano, 20089, Italy","Principal Investigator : Raffaello Furlan, Prof. , Humanitas Research Hospital, Humanitas University Study Chair : Franca Barbic, MD , Humanitas Research Hospital, Humanitas University, Rozzano Study Director : Raffaello Furlan, Prof. , Humanitas Research Hospital, Humanitas University"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT00608725,Pathophysiology of Orthostatic Intolerance,https://clinicaltrials.gov/study/NCT00608725,Tachycardia|Postural Orthostatic Tachycardia Syndrome,RADIATION: DAXOR|PROCEDURE: QSweat|DRUG: Intrinsic Heart Rate,"Physiological abnormalities in orthostatic intolerance, 1 day","blood volume, 1 day|intrinsic heart rate, 1 hour|quantitative sweat testing, 2 hours|residual sympathetic function after pharmacological autonomic blockade, 3 hours|norepinephrine spillover, 3 hours",,ALL,"ADULT, OLDER_ADULT",NA,"Vanderbilt University, Nashville, Tennessee, 37232, United States",
POTS (Postural Orthostatic Tachycardia Syndrome),NCT01367977,Head Circumference Growth in Children With Ehlers-Danlos Syndrome Who Develop Dysautonomia Later in Life,https://clinicaltrials.gov/study/NCT01367977,Ehlers Danlos Syndrome|External Hydrocephalus|Dysautonomia|Postural Orthostatic Tachycardia Syndrome|Venous Insufficiency,,"Measurement of Head Circumference in Ehlers-Danlos patients (retrospectively), between the ages of birth to 15 months of age., Measurements of head circumferences, weight and length of children (retrospectively), will be compared to ""normals"" as established by the U.S. Department of Health and Human Services, Centers for Disease Control and Prevention (CDC), 2008., Retrospectively, between patients' birth to 15 months of age",,,ALL,"CHILD, ADULT, OLDER_ADULT",,"POTS Care, Colleyville, Texas, 76034, United States","Principal Investigator : Diana L Driscoll, O.D. , Genetic Disease Investigators"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT00069693,Evaluation of Chronic Orthostatic Intolerance,https://clinicaltrials.gov/study/NCT00069693,Syncope,,,,,ALL,"CHILD, ADULT, OLDER_ADULT",,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States|Hospital Sacre-Coeur de Montreal, Montreal, Canada|University of Ottawa Heart Institute, Ottawa, Canada",National Institute of Neurological Disorders and Stroke (NINDS)
POTS (Postural Orthostatic Tachycardia Syndrome),NCT01210430,Local Vasoconstriction in Postural Tachycardia Syndrome,https://clinicaltrials.gov/study/NCT01210430,Postural Tachycardia Syndrome,DRUG: Losartan|DRUG: Ascorbic Acid (Vitamin C)|DRUG: Normal Saline,"Orthostatic tolerance measured by the heart rate and blood pressure response to upright tilt, 2 months","Sympathetic activation and blood flow measured by sympathetic nerve recordings and Doppler blood flow in the leg, 2 months",,ALL,"CHILD, ADULT",EARLY_PHASE1,"New York Medical College/Bradhurst building, Hawthorne, New York, 10532, United States","Principal Investigator : Julian M Stewart, MD, PhD , New York Medical College"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT00061009,Hypnosis in Autonomic Function,https://clinicaltrials.gov/study/NCT00061009,Vasovagal Syncope|Postural Tachycardia Syndrome|Hypnosis,,,,,ALL,"CHILD, ADULT, OLDER_ADULT",,"National Institute of Neurological Disorders and Stroke (NINDS), Bethesda, Maryland, 20892, United States",National Institute of Neurological Disorders and Stroke (NINDS)
POTS (Postural Orthostatic Tachycardia Syndrome),NCT06271005,Neurological Dry Eye Study Stimulating Both Lacrimal and Vagus Nerves,https://clinicaltrials.gov/study/NCT06271005,Dry Eye Disease|Dry Eye,DIETARY_SUPPLEMENT: NeuroTears|DIETARY_SUPPLEMENT: Placebo,"OSDI, Ocular Surface Disease Index, 4 weeks",,,ALL,"ADULT, OLDER_ADULT",NA,,Genetic Disease Investigators
POTS (Postural Orthostatic Tachycardia Syndrome),NCT05823896,imPROving Quality of LIFe In the Long COVID Patient,https://clinicaltrials.gov/study/NCT05823896,"Post-COVID-19 Syndrome|Long COVID|Long Covid19|COVID-19|POTS - Postural Orthostatic Tachycardia Syndrome|Post COVID-19 Condition|Post-COVID Syndrome|Post COVID-19 Condition, Unspecified|Postinfectious Inflammation|Postinfectious Disorder",DRUG: Nirmatrelvir/ritonavir|DRUG: Placebo/ritonavir,"Change from baseline in quality of life at day 16, The effect of oral administration of nirmatrelvir/ritonavir on quality of life measured as change from baseline using the EQ-5D-5L VAS scale., Baseline and day 16","Change from baseline in quality of life at days 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on quality of life measured as change from baseline using the EQ-5D-5L VAS scale., Baseline and days 45 and 90|Change from baseline in hemodynamic response at days 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on hemodynamic response (only patients diagnosed with postural orthostatic tachycardia syndrome, POTS). Change from baseline in delta maximum heart rate during active standing test., Baseline and days 45 and 90|Change from baseline in fever in patients with POTS at days 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on fever (only patients diagnosed with POTS). Change from baseline in POTS-specific symptoms as measured by using the Malmo POTS score, MAPS., Baseline and days 45 and 90|Change from baseline in endothelial function at day 45, The effect of oral administration of nirmatrelvir/ritonavir on reactive hyperemia index. Change from baseline in endothelial function measured using the EndoPatÂ® device., Baseline and day 45|Change from baseline in heart rate at days 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on 24-h average heart rate. Change from baseline in heart rate using ECG monitoring device., Baseline and days 45 and 90|Change from baseline in fever at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on fever. Change from baseline in body temperature., Baseline and days 16, 45 and 90|Change from baseline in physical capacity at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on physical capacity. Change from baseline as measured by 6-minute walk test., Baseline and days 16, 45 and 90|Change from baseline in handgrip strength at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on handgrip strength. Change from baseline as measured by JAMAR hand dynamometer., Baseline and days 16, 45 and 90|Change from baseline in physical activity at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on physical activity. Change from baseline as measured by accelerometer., Baseline and days 16, 45 and 90|Change from baseline in post-exertional malaise at day 90, The effect of oral administration of nirmatrelvir/ritonavir on post-exertional malaise. Change from baseline in total score as measured by the Post-Exertional Malaise (PEM) short form., Baseline and day 90|Change from baseline in fatigue at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on fatigue. Change from baseline as measured by the fatigue severity scale (FSS) and mental fatigue scale (MFS)., Baseline and days 16, 45 and 90|Change from baseline in cognitive dysfunction at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on cognitive dysfunction. Change from baseline over time as measured by the Montreal Cognitive Assessment (MoCA) test., Baseline and days 16, 45 and 90|Change from baseline in dyspnea at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on dyspnea measured as change from baseline in respiratory symptoms using the Chronic obstructive disease assessment (CAT) and Modified Medical Research Council (mMRC) tests., Baseline and days 16, 45 and 90|Change from baseline in dysfunctional breathing patterns, maximum inspiratory pressure and lung function at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on dysfunctional breathing patterns, maximum inspiratory pressure, and lung function. Change from baseline in Njimegen questionnaire, maximal inspiratory pressure (MIP), forced vital capacity (FVC) and forced expiratory volume in one second (FEV1)., Baseline and days 16, 45 and 90|Change from baseline in plasma biomarkers at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on plasma biomarkers. Change from baseline in the following plasma biomarkers: D-dimer, CRP, ESR, ferritin, NTproBNP and LD., Baseline and days 16, 45 and 90|Change from baseline in dysautonomia at days 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on dysautonomia symptoms. Change from baseline as measured using the Composite Autonomic Symptom Score (Compass31) questionnaire., Baseline and days 45 and 90","Change from baseline in breathing patterns at days 16, 45 and 90, The effect of oral administration of nirmatrelvir/ritonavir on breathing pattern. Change from baseline in dynamic spirometry measurements., Baseline and days 16, 45 and 90|Change from baseline in persistence of SARS-CoV-2 virus at day 16, The effect of oral administration of nirmatrelvir/ritonavir on persistence of SARS-CoV-2 virus as measured by:
 
 Protein profiling using Olink Explore Inflammation panel. Nucleosome-profiling (using Volition) and circulating spike (using SIMOAâ„¢, Quanterix).
 
 PBMC profiling for scTCR-sequencing (using BD Rhapsody) with assessment of Super-Ag-mediated T-cell activation.
 
 Immune system signatures associated with disease states using RNA-sequencing of stabilized whole blood (PaxGene)., At baseline and day 16|Change from baseline in immune cell function at day 16, The effect of oral administration of nirmatrelvir/ritonavir on changes in immune cell function as assessed by high-dimensional cytometry., At baseline and day 16|Change from baseline in relationships between genotypes and immune function at day 16, The effect of oral administration of nirmatrelvir/ritonavir on the relationship between genotypes and immune function at the molecular level. Circulating protein levels adjusted for DNA-variants., At baseline and day 16",ALL,"ADULT, OLDER_ADULT",PHASE2,"Karolinska Institutet, Stockholm, SE171 77, Sweden","Principal Investigator : Michael Runold, MD, PhD , Karolinska University Hospital"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT00728026,"Autonomic Profiles in Pediatric Patients With Cyclic Vomiting Syndrome (CVS), Irritable Bowel Syndrome (IBS),Postural Orthostatic Tachycardia Syndrome (POTS), Functional Abdominal Pain (FAP) or Chronic Nausea",https://clinicaltrials.gov/study/NCT00728026,Vomiting Syndrome|Irritable Bowel Syndrome|Postural Orthostatic Tachycardia Syndrome|Abdominal Pain|Chronic Nausea,,"To gather preliminary data to characterize autonomic function in children and adolescents with functional gastrointestinal disorders., One year",,,ALL,"CHILD, ADULT",,,"Principal Investigator : B UK Li , Medical College of Wiconsin"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT02341300,Use of Cast Iron Pots to Improve Maternal Anemia,https://clinicaltrials.gov/study/NCT02341300,Iron-deficiency Anemia,DEVICE: Cast Iron Pot|DEVICE: Alumnium Pot,"Increased hematocrit in second and third trimesters of pregnancy, 28 weeks (2nd and 3rd trimesters of pregnancy)","Compliance assessment, We will assess compliance with iron/aluminium pot use at the conclusion of the study, postpartum, after ~30 weeks|Incidence of adverse effects, Will contact patients to assess incidence of adverse effects of iron including constipation, Monthly phone surveys for 28 weeks|Satisfaction, Will contact patient monthly to assess satisfaction with study intervention, Monthly phone surveys for 28 weeks|Maternal anemia postpartum, Will assess subjects need for transfusion and/or symptoms of anemia (dizziness, lightheadedness) postpartum, postpartum, after ~30 weeks|Neonatal outcomes, Will follow up neonatal outcomes to assess for prematurity and/or low birthweight, postpartum, at ~30 weeks",,FEMALE,ADULT,NA,"New York Prebyterian Hospital Weill Cornell, New York, New York, 10021, United States","Principal Investigator : Stephen Chasen, MD , New York Presbyterian Hospital Weill Cornell"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT04345432,Gabapentin Treatment of Postural Tachycardia Syndrome (PoTS),https://clinicaltrials.gov/study/NCT04345432,Postural Orthostatic Tachycardia Syndrome,DRUG: Gabapentin,"Change in Acute Panic Inventory (API), Acute Panic Inventory is a validated 17-item (4 psychological and 13 somatic/visceral) questionnaire. Patients rate each item on a 4-point severity scale of 0 to 3, yielding a score of 0-51. An increase in API score \>13 over baseline or a total score of \>20 distinguished panic subjects from controls., at baseline, at 1 week from baseline (upon completion of first treatment), at 2 weeks from baseline (upon completion of washout period), at 3 weeks from baseline (upon completion of second treatment)","Change in Palpitation Awareness and Severity Response, In the Palpitation Awareness and Severity Response, the patient identifies one or more of the eight types of palpitations and grades their severity (1-10) immediately after the Valsalva maneuver (expiratory strain of 40 mm Hg for 15 seconds)., at baseline, at 1 week from baseline (upon completion of first treatment), at 2 weeks from baseline (upon completion of washout period), at 3 weeks from baseline (upon completion of second treatment)|Change in Insomnia Severity Index, Insomnia Severity Index is a validated 7-item questionnaire rating severity of insomnia on a 5-point (zero to 4) scale yielding a score of 0-28, with a score of \>14 indicating insomnia., at baseline, at 1 week from baseline (upon completion of first treatment), at 2 weeks from baseline (upon completion of washout period), at 3 weeks from baseline (upon completion of second treatment)|Change in Photosensitivity Index, The Photosensitivity Index is a 10-point visual analog of scale yielding a score of 0-10 to rate glare and pain after 30-second exposure of ophthalmoscopic light in each eye in a dimly lit room. Higher score indicates greater sensitivity to light., at baseline, at 1 week from baseline (upon completion of first treatment), at 2 weeks from baseline (upon completion of washout period), at 3 weeks from baseline (upon completion of second treatment)|Change in Somatosensory Amplification Scale (SSAS), The Somatosensory Amplification Scale is a validated 5-point severity scale used to investigate the possibility of perceptual amplification of symptoms. The scale covers 10 somatic and visceral sensations to quantify symptom amplification yielding a score of 0-50, with higher score indicating greater somatosensory amplification. A score \>30 may reflect a highly somatizing condition., at baseline, at 1 week from baseline (upon completion of first treatment), at 2 weeks from baseline (upon completion of washout period), at 3 weeks from baseline (upon completion of second treatment)",,ALL,ADULT,NA,,Medstar Health Research Institute
POTS (Postural Orthostatic Tachycardia Syndrome),NCT04776226,Post-stroke Depression Treatment Effect on Stroke Recurrence,https://clinicaltrials.gov/study/NCT04776226,Stroke Recurrence|Cardiovascular Events|Depression,DRUG: Citalopram,"Stroke recurrence, Standard World Health Organization definitions were used for recurrent stroke, 12 months","Cardiovascular Event, Cardiovascular events were defined and recorded over the study period if they had at least one of the following: myocardial infarction; unstable angina; angina; percutaneous coronary intervention; or coronary artery bypass graft surgery., 12 months",,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Ege University, Ä°zmir, 35100, Turkey","Principal Investigator : Huseyin Nezih Ã–zdemir, MD , Ege University Scool of Medicine"
POTS (Postural Orthostatic Tachycardia Syndrome),NCT02018497,Essential Hypotension and Allostasis Registry,https://clinicaltrials.gov/study/NCT02018497,Blood Pressure|Depression|Panic Attack|Fibromyalgia|POTS|Inappropriate Sinus Tachycardia|Coronary Heart Disease|Acute Coronary Syndrome (ACS)|Acute Myocardial Infarction (AMI)|Cerebrovascular Disease (CVD)|Transient Ischemic Attack (TIA)|Atrial Fibrillation|Diabetes Mellitus|Cancer|Systolic Heart Failure|Diastolic Heart Failure|Chronic Fatigue Syndrome|Syncope|Vasovagal Syncope,,"Relationship between Blood pressure group and comorbidities, Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Comorbidities: As describe in the protocol, as a summary: 1) cardiovascular, 2) metabolic, 3) Endocrine, 4) psychiatric disorders: depression and panic disorder, 5) orthostatic intolerance: neurally mediated syncope, vasovagal syncope, inappropriate sinus tachycardia, Postural orthostatic syndrome, carotid sinus hypersensitivity; 6) others: chronic fatigue syndrome, fibromyalgia, arthritis, autoimmune diseases, pulmonary thromboembolism, OSA (obstructive sleep apnea), Alzheimer disease, Parkinson disease, others dementias, epilepsia, nephropathies, and others.
 
 Cardiovascular mortality Total mortality, A 7-year prospective study|Relationship between adaptability group and comorbidities, Adaptability group: Hyper adaptable, normal adaptability, hypo adaptable. Comorbidities: As describe in the protocol, as a summary: 1) cardiovascular, 2) metabolic, 3) Endocrine, 4) psychiatric disorders: depression and panic disorder, 5) orthostatic intolerance: neurally mediated syncope, vasovagal syncope, inappropriate sinus tachycardia, Postural orthostatic syndrome, carotid sinus hypersensitivity; 6) others: chronic fatigue syndrome, fibromyalgia, arthritis, autoimmune diseases, pulmonary thromboembolism, OSA (obstructive sleep apnea), Alzheimer disease, Parkinson disease, others dementias, epilepsia, nephropathies, and others.
 
 Cardiovascular mortality Total mortality, A 7-year prospective study|Relationship between blood pressure group, adaptability group and comorbidities, Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Adaptability group: Hyper adaptable, normal adaptability, hypo adaptable. Comorbidities: As describe in the protocol, as a summary: 1) cardiovascular, 2) metabolic, 3) Endocrine, 4) psychiatric disorders: depression and panic disorder, 5) orthostatic intolerance: neurally mediated syncope, vasovagal syncope, inappropriate sinus tachycardia, Postural orthostatic syndrome, carotid sinus hypersensitivity; 6) others: chronic fatigue syndrome, fibromyalgia, arthritis, autoimmune diseases, pulmonary thromboembolism, OSA (obstructive sleep apnea), Alzheimer disease, Parkinson disease, others dementias, epilepsia, nephropathies, and others.
 
 Cardiovascular mortality Total mortality, A 7-year prospective study","Relationship between blood pressure group, habits and anthropometric, metabolic, endocrine, Electrocardiogram, Holter, ambulatory blood pressure monitoring (ABPM), Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Habits: smoke and drink
 
 Anthropometric variables: Body mass index, waist, hip
 
 Metabolic variables: Fasting glucose, 2 hs postprandial plasma glucose, insulin plasma levels, homoeostasis model assessment (HOMA), total cholesterol, LDL, HDL, triglycerides.
 
 Endocrine variables: plasma cortisol, free cortisol in 24 hs. urine, epinephrine, norepinephrine, metanephrines, vanilmandelic acid, ACTH, aldosterone, renin, thyrotropine, free thyroxine, triiodothyronine, testosterone
 
 Electrocardiogram: HR; PR interval, QRS complex, cQT interval
 
 Holter variables: HR, standard deviation of NN intervals (SDNN) and sympathovagal balance, at day, night and 24 hs.
 
 ABPM: Systolic, diastolic, and heart rate, at day, night and 24 hs., BP matinal surge., A 7-year prospective study|Relationship between blood pressure group, adaptability group, habits anthropometric, metabolic, endocrine, electrocardiographic, Holter, ambulatory arterial blood pressure monitoring., Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Adaptability group: Hyper adaptable, normal adaptability, hypo adaptable.
 
 Habits: smoke and drink
 
 Anthropometric variables: Body mass index, waist, hip
 
 Metabolic variables: Fasting glucose, 2 hs postprandial plasma glucose, insulin plasma levels, HOMA, total cholesterol, LDL, HDL, triglycerides.
 
 Endocrine variables: plasma cortisol, free cortisol in 24 hs. urine, epinephrine, norepinephrine, metanephrines, vanilmandelic acid, ACTH, aldosterone, renin, thyrotropine, free thyroxine, triiodothyronine, testosterone
 
 Electrocardiogram: PR interval, QRS complex, Heart rate, cQT interval
 
 Holter variables: HR, SDNN and sympathovagal balance, at day, night and 24 hs.
 
 ABPM: Systolic, diastolic, and heart rate, at day, night and 24 hs., BP matinal surge., A 7-year prospective study|For metabolic disorders what it matters the most: the anthropometric variables vs blood pressure group vs adaptability group, Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Adaptability group: 1) Hyper adaptable, 2) normal adaptability and 3) hypo adaptable.
 
 Habits: smoke and drink, exercise
 
 Anthropometric variables: Body mass index, waist, hip
 
 Metabolic and other variables: Fasting glucose, 2 hs postprandial plasma glucose, insulin plasma levels, HOMA, total cholesterol, LDL, HDL, triglycerides; thyrotropine,
 
 Holter variables: HR, standard deviation of NN intervals (SDNN) and sympathovagal balance, at day, night and 24 hs.
 
 ABPM: Systolic, diastolic, and heart rate, at day, night and 24 hs., BP matinal surge., A 7-year prospective study|Relationship between adaptability group, habits and anthropometric, metabolic, endocrine, Electrocardiogram, Holter, ambulatory blood pressure monitoring (ABPM), Adaptability group: Hyper adaptable, normal adaptability, hypo adaptable.
 
 Habits: smoke and drink Anthropometric variables: Body mass index, waist, hip
 
 Metabolic variables: Fasting glucose, 2 hs postprandial plasma glucose, insulin plasma levels, HOMA, total cholesterol, LDL, HDL, triglycerides.
 
 Endocrine variables: plasma cortisol, free cortisol in 24 hs. urine, epinephrine, norepinephrine, metanephrines, vanilmandelic acid, ACTH, aldosterone, renin, thyrotropine, free thyroxine, triiodothyronine, testosterone
 
 Electrocardiogram: PR interval, QRS complex, Heart rate, cQT interval
 
 Holter variables: HR, SDNN and sympathovagal balance, at day, night and 24 hs.
 
 ABPM: Systolic, diastolic, and heart rate, at day, night and 24 hs., BP matinal surge., A 7-year prospective study","Syncope Registry, Clinical syncope characteristics (age of first syncope, number of syncope episodes, trauma, duration, clinical score, convulse, sphincter relaxation, etc.) Syncope cause Blood pressure group Adaptability group Prognosis, Up 100 weeks|Tilt table testing (TTT) registry, TTT protocol: describe the protocol, the time at positive response, nitroglycerine use, autonomic and hemodynamic variables.
 
 TTT outcome for syncope: positive or negative TTT other outcomes: 1) Chronotropic incompetence, 2) arterial orthostatic hypotension, 3) carotid hypersensitivity, 4) POTS, 5) IST The relationship between TTT results and Clinical score for syncope in regard to: syncope behaviour and other orthostatic intolerance entities, symptoms and comorbidities.
 
 The relationship between neurally mediated syncope response at the TTT and comorbidities., Up to 100 weeks|Sinus node function at the electrophysiological study (EPS), EPS variables: AH, AV, CL, sino atrial conduction time (SACT), sinus node recovery time (SNRT), corrected sinus node recovery time (CSNRT), response to Isoproterenol, intrinsic heart rate Diagnosis: control, sick sinus syndrome, IST, chronotropic incompetence at the TTT HR at the ECG HR at the Holter monitoring HR at the TTT HRV at the Holter monitoring Syncope, cardiac or neurally mediated HR at the physical treadmill test Relationship with the blood pressure group Relationship with the adaptability group, Up to 100 weeks|Score for coronary artery disease, Define how the blood pressure group and/or the adaptability group may add to the already known and include in this registry, in the diagnosis of cardiovascular complications as coronary artery disease, cerebrovascular disease, peripheral artery disease, nephropathy., Up to 200 weeks|Neurally Mediated Syncope: further of the transient lost of consciousness (TLC), Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Adaptability group: Hyper adaptable, normal adaptability, hypo adaptable. Comorbidities: As describe in the protocol, as a summary: 1) cardiovascular, 2) metabolic, 3) Endocrine, 4) psychiatric disorders: depression and panic disorder, 5) orthostatic intolerance: neurally mediated syncope, vasovagal syncope, inappropriate sinus tachycardia, Postural orthostatic syndrome, carotid sinus hypersensitivity; 6) others: chronic fatigue syndrome, fibromyalgia, arthritis, autoimmune diseases, pulmonary thromboembolism, OSA (obstructive sleep apnea), Alzheimer disease, Parkinson disease, others dementias, epilepsia, nephropathies, COPD, and others.
 
 Mortality, A 7-year prospective study|Psychobiotype: relationship between biological and psychological variables, Blood pressure group: 1) Essential arterial hypotension, 2) normotension and 3) Essential arterial hypertension.
 
 Adaptability group: Hyper adaptable, normal adaptability, hypo adaptable.
 
 Psychiatric variables:
 
 1. Big Five Questionary (BFQ) for personality.
 2. Modify of the Coping Scale (Scale of modified coping strategies)
 3. Zung questionary for depression and anxiety
 4. MINI in those patients with moderate or severe depression and/or anxiety at the Zung questionary, Up to 100 weeks|The role of high sodium intake in the development of essential hypertension. Comparison between essential hypotension (high sodium intake) vs normotension population (normal or low sodium intake) in the follow-up., High sodium intake in the diet is recognized as a risk factor for hypertension development.
 
 Essential hypotension population is advised to increase the sodium (at least 10 grams a day) and water intake (at least 2 liters a day), or as much as possible, several have taken Fludrocortisone (is not a exclusion criteria). Normal blood pressure population are advised to have a normal or low sodium intake. Physical exercise is recommended in both groups.
 
 This registry is a good opportunity to test how important sodium diet is to induce hypertension, or if by the contrary adaptability could prevail over high sodium intake in this registry.
 
 Blood pressure groups: essential hypotension and normotension and those with new essential hypertension. Adaptability groups.
 
 The results will be adjusted for age, gender and BMI., 4 years|White coat effect in the heart rate or masked bradycardia., Consistent bradycardia in the ECG at the office and normal HR in the holter monitoring or the contrary.
 
 There are patients with complaints that may be attributed to bradycardia, low blood pressure, hypothyroidism, or other entities.
 
 Some patients very often have bradycardia in the ECG taken in the office and normal HR in the 24 Holter monitoring, the opposite is also possible.
 
 Patients with bradycardia (without medication or physiological condition as exersice affecting heart rate) in at least 2 ECG (less 60 bpm) and at least 2 Holter monitoring will be analyzed,
 
 Other variables to consider are:
 
 Age, gender, blood pressure group, adaptability group, maximum HR in the treadmill test, white coat or masked hypertension, Tilt-Table-test result or syncope cause, Electrophysiological study if available.
 
 The acknowledge of this phenomenon could have clinical implications in the diagnosis of sick sinus syndrome and physiopathological ones., 1 year|Reversible Bradycardia Mimicking Sinus Node Dysfunction as a Manifestation of Subacute Autonomic Nervous System Dysfunction (ANSD)., Bradycardia is the classical presentation form for sinus node dysfunction, mainly when associated with symptoms. Chronotropic incompetence is also a manifestation. Absence of medications with effects on the heart rate (HR) must be ruled out.
 
 Variables
 
 1. HR at the ECG, Holter monitoring, stress text, and at the physical examination previous to pacemaker implantation,
 2. Electrophysiological study (EPS): Basic cycle length, Sino-atrial conduction time, Sinus node recovery time, Corrected sinus node recovery time, Intrinsic HR when available 3. Pacemaker variables: HR at day and night or rest time Percentage of stimulation in A and V chambers 4. Syncope: Clinical characteriscs and clinical score Tilt table test results Trans Thoracic Echocardiogram in rest and or stress text Hypothesis: patients with ANSD will start to decrease the percentage atrial stimulation., 2 years|Description of the blood pressure hemodynamic profile at a medical office and their prognostic implications., A non invasive, beat to beat BP monitoring, with the ability to measure BP, HR, Cardiac Output and Systemic Vascular Resistance (SVR) was started to use in the EHAR registry since May 2017. A description of this variables in the three BP groups will be collected in the data base (DB).
 
 This will allow to characterize whether SVR and/or CO maintain BP. Until now BP levels are related with prognosis. In the prognosis model SVR and CO will be add them to know what matter the most: BP levels, SVR and/or CO? In the EHAR registry a collection of the variables recognized as a risk factor for several comorbidities are available to adjust in multivariable analysis., Three years",ALL,"CHILD, ADULT, OLDER_ADULT",,"CES University, MedellÃ­n, Antioquia, 00, Colombia","Principal Investigator : Luis Eduardo Medina, MD. , Researcher"
