Disease,NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
Atopic Dermatitis,NCT04352270,Clinic-Based Atopic Dermatitis Therapeutic Patient Education,https://clinicaltrials.gov/study/NCT04352270,NO,Atopic Dermatitis,OTHER: AD printed educational materials|OTHER: AD educational videos,ALL,CHILD,,"BMC Pediatric Dermatology Clinics, Boston, Massachusetts, 02118, United States","Principal Investigator : Margaret Lee, MD PhD , Boston University"
Atopic Dermatitis,NCT05613062,Modified Huang-Lian-Jie-Du Decoction (MHLJDD) for Atopic Dermatitis in Children,https://clinicaltrials.gov/study/NCT05613062,NO,Atopic Dermatitis,DRUG: Modified Huang-Lian-Jie-Du Decoction (MHLJDD)|DRUG: Placebo,ALL,CHILD,PHASE1|PHASE2,"School of Chinese Medicine, Hong Kong, Hong Kong","Principal Investigator : Zhixiu Lin , Integrative Medical Centre"
Atopic Dermatitis,NCT05200403,Improvement In Scratch Behavior And Sleep In Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05200403,NO,Atopic Dermatitis,DRUG: Crisaborole 2%|DRUG: Vehicle treatment|DEVICE: Accelerometry device for children|DEVICE: Accelerometry device for adult caregivers,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,"BU CAMed Laboratory for Human Neurobiology, Boston, Massachusetts, 02118, United States","Principal Investigator : Kevin C Thomas, PhD , BU School of Medicine, Anatomy and Neurobiology"
Atopic Dermatitis,NCT06009094,"Safety, Tolerance and Pharmacokinetics Clinical Study of VC005 in Healthy Subjects and Patients With Mild to Moderate Atopic Dermatitis",https://clinicaltrials.gov/study/NCT06009094,NO,Atopic Dermatitis,DRUG: VC005|DRUG: VC005 Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1,"Chinese Academy of Medical Sciences Hospital of Skin Disease, Nanjing, Jiangsu, China","Principal Investigator : Qianjin Lu , Chinese Academy of Medical Sciences Hospital of Skin Disease"
Atopic Dermatitis,NCT06421740,An Observational Study to Assess Real-World Use of Upadacitinib Tablets in Adolescent and Adult Participants With Moderate to Severe Atopic Dermatitis in China,https://clinicaltrials.gov/study/NCT06421740,NO,Atopic Dermatitis,,ALL,"CHILD, ADULT, OLDER_ADULT",,"Peking Union Medical College Hospital (East) - Dongdan Campus /ID# 264193, Beijing, Beijing, 100730, China|The First Affiliated Hospital Of Fujian Medical University /ID# 268210, Fuzhou, Fujian, 350005, China|Changgeng Hospital /ID# 268209, Xiamen, Fujian, 361022, China|The Affiliated Hospital of Xuzhou Medical College /ID# 268208, Xuzhou, Jiangsu, 221006, China|The People's Hospital of Liaoning Province /ID# 268206, Shenyang, Liaoning, 110016, China|Sichuan Provincial People's Hospital /ID# 268314, Chengdu, Sichuan, 610072, China|The Affiliated Hospital Of Southwest Medical University /ID# 268207, Sichuan, Sichuan, 646000, China|Taizhou Central Hospital /ID# 268211, Taizhou, Zhejiang, 318000, China","Study Director : ABBVIE INC. , AbbVie"
Atopic Dermatitis,NCT02779426,Texting Atopic Dermatitis Patients to Optimize Learning and EASI Scores,https://clinicaltrials.gov/study/NCT02779426,NO,Atopic Dermatitis,BEHAVIORAL: Text messages,ALL,CHILD,,"Columbia University Medical Center, Department of Dermatology, New York, New York, 10032, United States","Principal Investigator : Christine Lauren, MD , Columbia University"
Atopic Dermatitis,NCT06101823,Phase 2a Study of Efficacy and Safety of OpSCF in Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06101823,NO,Atopic Dermatitis,BIOLOGICAL: OpSCF|BIOLOGICAL: Placebo|BIOLOGICAL: OpSCF (Open Label Extension),ALL,"ADULT, OLDER_ADULT",PHASE2,"Cahaba Dermatology & Skin Health Center, Birmingham, Alabama, 33607, United States|First OC Dermatology Research, Fountain Valley, California, 92708, United States|Axon Clinical Research, Inglewood, California, 90301, United States|University Clinical Trials, San Diego, California, 92123, United States|Unison Clinical Trials, Sherman Oaks, California, 91403, United States|Skin Care Research, Boca Raton, Florida, 33456, United States|RM Medical Research, Miami Lakes, Florida, 33014, United States|Skin Research of South Florida, Miami, Florida, 33173, United States|Advanced Clinical Research Institute, Tampa, Florida, 33607, United States|Arlington Dermatology, Rolling Meadows, Illinois, 60008, United States|Options Research Group, West Lafayette, Indiana, 47906, United States|DS Research of Kentucky, Louisville, Kentucky, 40241, United States|Oakland Hills Dermatology P.C, Auburn Hills, Michigan, 48326, United States|Saginaw Bay Dermatology, Bay City, Michigan, 48706, United States|Skin Cancer and Dermatology Institute, Reno, Nevada, 89509, United States|Forest Hills Dermatology Group, Kew Gardens, New York, 11415, United States|Rodgers Dermatology, Frisco, Texas, 75034, United States|Dermatology Of Seattle, Bellevue, Washington, 98004, United States|Oshawa Clinic Dermatology Trials, Oshawa, Ontario, L1H 1B9, Canada|Research Toronto, Toronto, Ontario, M4W 2N2, Canada|Innovaderm Research Inc, MontrÃ©al, Quebec, H2X 2V1, Canada|Centre de Recherche Saint-Louis, QuÃ©bec City, Quebec, G1W 4R4, Canada","Study Director : Martin Phillips , Opsidio, LLC"
Atopic Dermatitis,NCT04706559,Efficacy of Oral Supplementation of Probiotics in Children With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04706559,NO,Atopic Dermatitis,"DRUG: Probiotic sachet containing mixture of four strains i.e.Lactobacillus rhamnosus, Lactobacillus acidophilus, Bifidobacterium longum, and Saccharomyces boulardii|DRUG: Conventional treatment",ALL,CHILD,,"B.P. Koirala Institute of Health Sciences, DharÄn BÄzÄr, 7053, Nepal",Nepal Health Research Council
Atopic Dermatitis,NCT04250337,Safety and Efficacy of Lebrikizumab (LY3650150) in Combination With Topical Corticosteroid in Moderate-to-Severe Atopic Dermatitis.,https://clinicaltrials.gov/study/NCT04250337,YES,Atopic Dermatitis,BIOLOGICAL: Lebrikizumab|OTHER: Placebo|OTHER: Topical Corticosteroid,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Investigate MD, Scottsdale, Arizona, 85255, United States|Orange County Research Institute, Anaheim, California, 92801, United States|Bakersfield Dermatology and Skin Cancer Medical Group, Bakersfield, California, 93309, United States|Wallace Medical Group, Inc., Beverly Hills, California, 90211, United States|First OC Dermatology, Fountain Valley, California, 92708, United States|Center For Dermatology Clinical Research, Inc., Fremont, California, 94538, United States|California Allergy and Asthma Medical Group + Research Center, Los Angeles, California, 90025, United States|Keck School of Medicine University of Southern California, Los Angeles, California, 90033, United States|Dermatology Research Associates, Los Angeles, California, 90045, United States|LA Universal Research Center, INC, Los Angeles, California, 90057, United States|ACRC Studies, San Diego, California, 92119, United States|University Clinical Trials, Inc., San Diego, California, 92123, United States|Southern California Dermatology, Inc., Santa Ana, California, 92701, United States|Foxhall Dermatology, Washington, District of Columbia, 20016, United States|St. Francis Medical Institute, Clearwater, Florida, 33765, United States|University of Florida - Gainesville, Gainesville, Florida, 32606, United States|Direct Helpers Medical Center, Hialeah, Florida, 33012, United States|The Community Research of South Florida, Hialeah, Florida, 33016, United States|GSI Clinical Research, LLC, Margate, Florida, 33063, United States|Vitae Research Center, LLC, Miami, Florida, 33135, United States|Well Pharma Medical Research Corp., Miami, Florida, 33143, United States|ForCare Clinical Research, Tampa, Florida, 33613-1244, United States|Advanced Medical Research, Sandy Springs, Georgia, 30328, United States|The Indiana Clinical Trials Center, Plainfield, Indiana, 46168, United States|Dermatology and Skin Cancer Specialists, Rockville, Maryland, 20850, United States|ActivMed Practices and Research, Beverly, Massachusetts, 01915, United States|Beacon Clinical Research LLC, Quincy, Massachusetts, 02169, United States|Fivenson Dermatology, Ann Arbor, Michigan, 48103, United States|Clarkston Skin Research, Clarkston, Michigan, 48346, United States|MediSearch Clinical Trials, Saint Joseph, Missouri, 64506, United States|ALLCUTIS Research, Portsmouth, New Hampshire, 03801, United States|Psoriasis Treatment Center of Central New Jersey, East Windsor, New Jersey, 08520, United States|Sadick Research Group, New York, New York, 10075, United States|OnSite Clinical Solutions, Charlotte, North Carolina, 28277, United States|Wilmington Dermatology Center, Wilmington, North Carolina, 28405, United States|Clinical Research Institute, Medford, Oregon, 97504, United States|Oregon Dermatology and Research Center, Portland, Oregon, 97210, United States|Oregon Medical Research Center, Portland, Oregon, 97223, United States|OHSU Center for Health and Healing, Portland, Oregon, 97239, United States|Clinical Partners, LLC, Johnston, Rhode Island, 02919, United States|Clinical Research Center of the Carolinas, Charleston, South Carolina, 29407, United States|Arlington Research Center, Inc, Arlington, Texas, 76011, United States|Dermatology Treatment and Research Center, Dallas, Texas, 75230, United States|CARe Clinic, Red Deer, Alberta, T4N 6V7, Canada|Dr. Chih-ho Hong Medical Inc., Surrey, British Columbia, V3R 6A7, Canada|Enverus Medical Research, Surrey, British Columbia, V3V 0C6, Canada|Wiseman Dermatology Research Inc., Winnipeg, Manitoba, R3M 3Z4, Canada|SKiN Centre for Dermatology, Peterborough, Ontario, K9J 5K2, Canada|International Dermatology Research, Montreal, Quebec, H3H1V4, Canada|Klinikum der Johann Wolfgang Goethe-UniversitÃ¤t Frankfurt, Frankfurt am Main, Hessen, 60590, Germany|Elbe Klinikum Buxtehude, Buxtehude, Lower Saxony, 21614, Germany|Technische Universitaet Dresden - Universitaetsklinikum Carl Gustav Carus - Klinik und Poliklinik fuer, Dresden, Saxony, 01307, Germany|Praxis fÃ¼r Ganzheitliche Dermatologie im Ã„rztehaus, Berlin, 13055, Germany|TFS Trial Form Support GmbH, Hamburg, 20537, Germany|DermMEDICA Sp. z o.o., Wroclaw, Dolnoslaskie, 51-318, Poland|Alergo-Med Specjalistyczna Przychodnia Lekarska Sp Z O.O., Tarnow, Malopolska, 33100, Poland|Kliniczny Szpital Wojewodzki nr. 1 Klinika Dermatologii, Rzeszow, Podkarpackie, 35-055, Poland|COPERNICUS Podmiot Leczniczy sp. z o.o., Gdansk, Pomorskie, 80-219, Poland|Labderm s.c., Ossy, Slaskie, 42-624, Poland|Gabinet Dermatlogiczny. Beata Krecisz, Kielce, Swietokrzyskie, 25-155, Poland|Clinica Vitae Sp. z o.o., Gdansk, Woj. Pomorskie, 80-405, Poland|Clinical Research Group Sp. z o.o., Warszawa, 01-142, Poland|Centralny Szpital Kliniczny MSWiA, Warszawa, 02-507, Poland","Study Director : Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST) , Eli Lilly and Company"
Atopic Dermatitis,NCT06397911,"Evaluate Efficacy, Pharmacokinetics, and Safety of Repeat Subcutaneous Doses of FB825 in Adults With Moderate-to-Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT06397911,NO,Atopic Dermatitis,DRUG: FB825|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,,"Principal Investigator : Chia-Yu Chu , Department of Dermatology National Taiwan University Hospital"
Atopic Dermatitis,NCT03921411,A Pharmacokinetics and Safety Study of Nemolizumab in Adolescent Participants With Atopic Dermatitis (AD),https://clinicaltrials.gov/study/NCT03921411,YES,Atopic Dermatitis,BIOLOGICAL: Nemolizumab,ALL,CHILD,PHASE2,"Galderma Investigational Site, Fountain Valley, California, 92708, United States|Galderma Investigational Site, Fremont, California, 94538, United States|Galderma Investigational Site, Jacksonville, Florida, 32256, United States|Galderma Investigational Site, Tampa, Florida, 33607, United States|Galderma Investigational Site, Columbus, Georgia, 31904, United States|Galderma Investigational Site, Sandy Springs, Georgia, 30128, United States|Galderma Investigational Site, Gresham, Oregon, 97030, United States|Galderma Investigational Site, Dallas, Texas, 75230-5806, United States|Galderma Investigational Site, Frisco, Texas, 75034, United States|Galderma Investigational Site, Richmond, Virginia, 23220, United States",
Atopic Dermatitis,NCT04195698,Open-Label Extension Study of Upadacitinib in Adult Participants With Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04195698,NO,Atopic Dermatitis,DRUG: Upadacitinib,ALL,"ADULT, OLDER_ADULT",PHASE3,"University of Arkansas for Medical Sciences /ID# 221021, Little Rock, Arkansas, 72205, United States|First OC Dermatology Research Inc /ID# 218619, Fountain Valley, California, 92708-3701, United States|UCSF Fresno /ID# 218453, Fresno, California, 93701-2302, United States|California Allergy and Asthma Medical Group /ID# 218635, Los Angeles, California, 90025-7014, United States|Dermatology Research Associates /ID# 218637, Los Angeles, California, 90045, United States|Dermatology Clinical Trials /ID# 218627, Newport Beach, California, 92660-7853, United States|UC Davis Health /ID# 218582, Sacramento, California, 95816-3300, United States|Ucsd /Id# 218629, San Diego, California, 92103, United States|Clinical Science Institute /ID# 218632, Santa Monica, California, 90404-2102, United States|Miami Dermatology and Laser Institute /ID# 218664, Miami, Florida, 33173-3570, United States|Florida International Rsrch cr /ID# 218663, Miami, Florida, 33173, United States|GCP Research /ID# 218665, Saint Petersburg, Florida, 33705, United States|Clinical Research Trials of Florida, Inc. /ID# 218438, Tampa, Florida, 33607, United States|Georgia Pollens Clinical Research Centers, Inc /ID# 218441, Albany, Georgia, 31707-1282, United States|Medical Dermatology Associates of Chicago /ID# 218551, Chicago, Illinois, 60654-6903, United States|Sneeze, Wheeze, & Itch Associates, LLC /ID# 218552, Normal, Illinois, 61761, United States|Dawes Fretzin, LLC /ID# 218478, Indianapolis, Indiana, 46256, United States|Beacon Clinical Research, LLC /ID# 218636, Quincy, Massachusetts, 02169, United States|Michigan Center for Research Company /ID# 218577, Clarkston, Michigan, 48346, United States|Henry Ford Medical Center /ID# 218575, Detroit, Michigan, 48202-3046, United States|Duplicate_Allergy, Asthma & Immunology Associates, PC /ID# 218548, Lincoln, Nebraska, 68505-2343, United States|Skin Specialists, PC /ID# 218549, Omaha, Nebraska, 68144, United States|University Hospitals Case Medical Center /ID# 218574, Cleveland, Ohio, 44106, United States|Southside Dermatology /ID# 218477, Tulsa, Oklahoma, 74132, United States|Oregon Medical Res Center PC /ID# 218440, Portland, Oregon, 97223, United States|Oregon Medical Research Center /ID# 218578, Portland, Oregon, 97239, United States|Medical University of South Carolina /ID# 221072, Charleston, South Carolina, 29425, United States|Clinical Research Solutions, LLC /ID# 218447, Jackson, Tennessee, 38305-2163, United States|Orion Clinical Research /ID# 218565, Austin, Texas, 78759-4100, United States|Sante Clinical Research /ID# 218911, Kerrville, Texas, 78028-9640, United States|Clinical Research Partners, LLC /ID# 218480, Richmond, Virginia, 23220-4459, United States|Premier Clinical Research /ID# 218583, Spokane, Washington, 99202, United States|West Virginia Research Inst /ID# 218479, South Charleston, West Virginia, 25309, United States|Holdsworth House Medical Practice /ID# 218755, Darlinghurst, New South Wales, 2010, Australia|The Skin Hospital /ID# 218753, Darlinghurst, New South Wales, 2010, Australia|Veracity Clinical Research /ID# 218754, Woolloongabba, Queensland, 4102, Australia|Sinclair Dermatology /ID# 218751, East Melbourne, Victoria, 3002, Australia|Burswood Dermatology /ID# 218752, Victoria Park, Western Australia, 6100, Australia|Kirk Barber Research, CA /ID# 218727, Calgary, Alberta, T2G 1B1, Canada|Dermatology Research Institute Inc. /ID# 218728, Calgary, Alberta, T2J 7E1, Canada|Dr. Chih-ho Hong Medical Inc. /ID# 218725, Surrey, British Columbia, V3R 6A7, Canada|Enverus Medical Research /ID# 218726, Surrey, British Columbia, V3V 0C6, Canada|Dr. Wei Jing Loo Medicine Prof /ID# 218722, London, Ontario, N6H 5L5, Canada|Lynderm Research Inc. /ID# 218723, Markham, Ontario, L3P 1X2, Canada|DermEdge Research Inc. /ID# 218721, Mississauga, Ontario, L4Y 4C5, Canada|North York Research Inc /ID# 218729, Toronto, Ontario, M2N 3A6, Canada|K. Papp Clinical Research /ID# 218730, Waterloo, Ontario, N2J 1C4, Canada|Dre Angelique Gagne-Henley M.D. inc. /ID# 218724, Saint-Jerome, Quebec, J7Z 7E2, Canada|DermaPlus - Poliklinika za dermatologiju i venerologiju /ID# 218377, Zagreb, Grad Zagreb, 10000, Croatia|Klinicki bolnicki centar Zagreb /ID# 218375, Zagreb, Grad Zagreb, 10000, Croatia|Naftalan - Specijalna bolnica za medicinsku rehabilitaciju /ID# 218376, Ivanic-Grad, Zagrebacka Zupanija, 10310, Croatia|Fakultni nemocnice Hradec Kralove /ID# 214176, Hradec Kralove, 500 05, Czechia|Nemocnice Jihlava, prispevkova organizace /ID# 214178, Jihlava, 586 01, Czechia|Fakultni nemocnice Ostrava /ID# 214177, Ostrava, 708 52, Czechia|Fakultni Nemocnice v Motole /ID# 214179, Praha, 150 06, Czechia|Keski-pohjanmaa Central Hospital /ID# 214630, Kokkola, Keski-Pohjanmaa, 67200, Finland|Oulun yliopistollinen sairaala /ID# 214628, Oulu, Pohjois-Pohjanmaa, 90220, Finland|Mikkeli Central Hospital /ID# 214629, Mikkeli, 50100, Finland|AP-HM - Hopital de la Timone /ID# 218957, Marseille CEDEX 05, Bouches-du-Rhone, 13385, France|Polyclinique Courlancy /ID# 218955, Reims, Marne, 51100, France|CHU de Nantes, Hotel Dieu -HME /ID# 218959, Nantes, Pays-de-la-Loire, 44000, France|HÃ´pital Charles-Nicolle /ID# 218960, Rouen, 76000, France|CHU Toulouse - Hopital Larrey /ID# 218958, Toulouse, 31400, France|Universitaetsklinikum Frankfurt /ID# 214223, Frankfurt am Main, Hessen, 60590, Germany|Universitaetsklinikum Muenster /ID# 214222, Munster, Niedersachsen, 48149, Germany|Klinikum Darmstadt /ID# 214224, Darmstadt, 64283, Germany|Medizinische Hochschule Hannover /ID# 214226, Hannover, 30625, Germany|Dermatologische Gemeinschaftspraxis Mahlow /ID# 214225, Mahlow, 15831, Germany|Klinikum rechts der Isar - Technische Universitaet Muenchen /ID# 214221, Munich, 81675, Germany|Oroshazi Korhaz /ID# 214986, Oroshaza, Bekes, 5900, Hungary|Somogy Varmegyei Kaposi Mor Oktato Korhaz /ID# 214984, KaposvÃ¡r, Somogy, 7400, Hungary|Uno Medical Trials Kft /ID# 214987, Budapest, 1135, Hungary|St Vincent's University Hospital /ID# 213558, Elm Park, Dublin, D04 T6F4, Ireland|The Chaim Sheba Medical Center /ID# 218522, Ramat Gan, Tel-Aviv, 5265601, Israel|HaEmek Medical Center /ID# 218520, Afula, 1834111, Israel|Rabin Medical Center /ID# 218521, Petakh Tikva, 4941492, Israel|Istituto Clinico Humanitas /ID# 215727, Rozzano, Milano, 20089, Italy|Fondazione PTV Policlinico Tor Vergata /ID# 214093, Rome, Roma, 00133, Italy|Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico /ID# 214095, Milan, 20122, Italy|Azienda Ospedaliero-Universitaria di Modena /ID# 214096, Modena, 41124, Italy|Hospital Sultan Ismail /ID# 218881, Johor Bahru, Johor, 81100, Malaysia|Hospital Pakar Sultanah Fatimah /ID# 218877, Muar, Johor, 84000, Malaysia|Universiti Kebangsaan Malaysia (UKM) Medical Centre /ID# 218879, Kuala Lumpur, Selangor, 56000, Malaysia|Hospital Putrajaya /ID# 218880, Putrajaya, Wilayah Persekutuan Putrajaya, 62250, Malaysia|University Malaya Med Ctr /ID# 218882, Kuala Lumpur, 59100, Malaysia|Hospital Pulau Pinang /ID# 218878, Penang, 10450, Malaysia|Bravis Ziekenhuis /ID# 218772, Bergen op Zoom, Noord-Brabant, 4624 VT, Netherlands|Erasmus Medisch Centrum /ID# 218770, Rotterdam, Zuid-Holland, 3015 GD, Netherlands|Universitair Medisch Centrum Groningen /ID# 218775, Groningen, 9713 GZ, Netherlands|Universitair Medisch Centrum Utrecht /ID# 218771, Utrecht, 3584 CX, Netherlands|Optimal Clinical Trials Ltd /ID# 218688, Grafotn, Auckland, 1010, New Zealand|Wellington Regional Hospital /ID# 218689, Newtown, Wellington, 6021, New Zealand|Clinical Trials NZ /ID# 218690, Hamilton, 3204, New Zealand|Universitetssykehuset N-Norge, Tromso /ID# 214634, Tromso, Troms, 9019, Norway|Dermoklinika Centrum Medyczne s.c. /ID# 214300, Lodz, Lodzkie, 90-436, Poland|Pratia MCM Krakow /ID# 214303, Krakow, Malopolskie, 30-727, Poland|Klinika Ambroziak Sp. z o.o. /ID# 214301, Warszawa, Mazowieckie, 02-953, Poland|Royalderm Agnieszka Nawrocka /ID# 214302, Warszawa, Mazowieckie, 02-962, Poland|ClinicMed Daniluk, Nowak Sp.k. /ID# 214299, Bialystok, Podlaskie, 15-879, Poland|National University Hospital /ID# 219093, Singapore, 119074, Singapore|Hospital Universitario de Bellvitge /ID# 214257, L'Hospitalet de Llobregat, Barcelona, 08907, Spain|Hospital Universitario Dr. Negrin /ID# 214256, Las Palmas de Gran Canaria, Las Palmas, 35019, Spain|Hospital de Manises /ID# 214258, Manises, Valencia, 46940, Spain|Complejo Hospitalario Universitario de Pontevedra /ID# 214255, Pontevedra, 36071, Spain|Hospital Universitario Arnau Vilanova /ID# 214254, Valencia, 46015, Spain|Hospital Universitario y Politecnico La Fe /ID# 214252, Valencia, 46026, Spain|Chung Shan Medical University Hospital /ID# 218919, Taichung, 40201, Taiwan|China Medical University Hospital /ID# 218409, Taichung, 40447, Taiwan|National Taiwan University Hospital /ID# 218917, Taipei City, 100, Taiwan|Taipei Municipal Wan Fang Hospital /ID# 218918, Taipei, 116, Taiwan|Kyiv City Clinical Skin and Venereal Hospital /ID# 218382, Kyiv, Kyivska Oblast, 04209, Ukraine|ME ""Rivne Regional Dermatology and Venereology Dispensary"" of RRC /ID# 218385, Rivne, 33028, Ukraine|Victoria Hospital /ID# 213564, Kirkcaldy, Fife, KY2 5AH, United Kingdom|The Royal Free London NHS Foundation Trust /ID# 213560, London, London, City Of, NW3 2QG, United Kingdom|NHS Greater Glasgow and Clyde /ID# 213561, Glasgow, Scotland, G12 0XH, United Kingdom|University Hospitals Sussex NHS Foundation Trust /ID# 213562, Worthing, BN11 2DH, United Kingdom","Study Director : ABBVIE INC. , AbbVie"
Atopic Dermatitis,NCT05318300,Evaluation of an Adapted Formula on Atopic Dermatitis.,https://clinicaltrials.gov/study/NCT05318300,NO,Atopic Dermatitis,DIETARY_SUPPLEMENT: tested formula with fiber|DIETARY_SUPPLEMENT: Control,ALL,CHILD,,"Center_13, Namur, Belgium|Center_14, Thuin, Belgium|Center_05, Nice, France","Principal Investigator : Fabienne Cahn-Sellem , Private Practice Study Chair : Sebastien Barbarot , Hotel Dieu Hospital, Nantes, France Principal Investigator : Elena Bradatan , Private Practice"
Atopic Dermatitis,NCT03901144,A NOVel Moisturiser for Atopic Dermatitis: Effect on the Skin Barrier,https://clinicaltrials.gov/study/NCT03901144,YES,"Dermatitis, Atopic",DRUG: 2% urea/20% glycerol cream|DRUG: MinidermÂ® 20% cream|DRUG: DiprobaseÂ® cream,ALL,"ADULT, OLDER_ADULT",PHASE2,"The University of Sheffield Medical School, Sheffield, S10 2RX, United Kingdom",The University of Sheffield Medical School
Atopic Dermatitis,NCT04668066,Study to Evaluate Safety and Tolerability of PF-07242813 in Healthy Participants and Participants With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04668066,YES,Atopic Dermatitis,DRUG: PF-07242813|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE1,"Anaheim Clinical Trials, LLC, Anaheim, California, 92801, United States|First OC Dermatology, Fountain Valley, California, 92708, United States|Keck School of Medicine of USC, Los Angeles, California, 90033, United States|USC/Norris Comprehensive Cancer Center, Los Angeles, California, 90033, United States|Orange County Research Center, Tustin, California, 92780, United States|Vital Prospects Clinical Research Institute, PC, Tulsa, Oklahoma, 74136, United States|Aspen Clinical Research, Orem, Utah, 84058, United States",
Atopic Dermatitis,NCT06058000,A Phase 2 Study of QLM3003 Ointment in Participants With Mild or Moderate Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06058000,NO,Atopic Dermatitis,DRUG: 1.5% QLM3003|DRUG: 2% QLM3003|DRUG: Vehicle (Placebo),ALL,"ADULT, OLDER_ADULT",PHASE2,"The First Hospital of China Medical University, Shenyang, Liaoning, 110001, China|Dermatology Hospital of Shandong First Medical University, Jinan, Shandong, 276000, China","Principal Investigator : Xinghua Gao, Doctor , First Hospital of China Medical University Principal Investigator : Furen zhang, Doctor , Dermatology Hospital of Shandong First Medical University"
Atopic Dermatitis,NCT04613037,Efficacy of Fecal Microbial Transplantation Treatment in Adults With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04613037,NO,Atopic Dermatitis,BIOLOGICAL: Fecal Microbial Transplantation,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,"Department of Dermatology, Tel Aviv Sourasky medical center, Tel Aviv, 64239, Israel","Principal Investigator : Jacob Mashiah, MD , Tel-Aviv Sourasky Medical Center Principal Investigator : Nitsan Maharshak, MD , Tel-Aviv Sourasky Medical Center"
Atopic Dermatitis,NCT04193670,"Sensory Nociceptive Nerve Fibers, Key Regulator of Immune Response Type 2 in Atopic Dermatitis",https://clinicaltrials.gov/study/NCT04193670,NO,Atopic Dermatitis,OTHER: Clinical examination|PROCEDURE: Biopsies|OTHER: Blood test,ALL,"ADULT, OLDER_ADULT",,"CHU de TOULOUSE, Toulouse, 31059, France","Principal Investigator : Marie TAUBER , University Hospital, Toulouse"
Atopic Dermatitis,NCT05970432,A Clinical Study of TQH2722 Injection in the Treatment of Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05970432,NO,Atopic Dermatitis,DRUG: TQH2722 injection 300mg-150mg|DRUG: TQH2722 injection 600mg-300mg|DRUG: TQH2722 injection 900mg-450mg|DRUG: TQH2722 injection matching Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"The First Affiliated Hospital of Wannan Medical College, Wuhu, Anhui, 241000, China|Dermatology Hospital, Southern Medical University, Guangzhou, Guangdong, 510030, China|The Second Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, 510260, China|Shenzhen People's Hospital, Shenzhen, Guangdong, 518020, China|Affiliated Hospital of Guilin Medical University, Guilin, Guangxi, 541001, China|Affiliated Hospital of Hebei Engineering University, Handan, Hebei, 056002, China|The Forth Hospital of Hebei Medical University, Shijiazhuang, Hebei, 050000, China|The second affiliated hospital of harbin medical university, Harbin, Heilongjiang, 150000, China|Puyang District Hospital of Anyang City, Anyang, Henan, 455000, China|The First People's Hospital of Nanyang, Nanyang, Henan, 473000, China|People's Hospital of Henan province, Zhengzhou, Henan, 450003, China|Shiyan Renmin Hospital, Shiyan, Hubei, 442000, China|Renmin Hospital of Wuhan University, Wuhan, Hubei, 430000, China|The third xiangya hospital of central south university, Changsha, Hunan, 410013, China|Qian-jin Lu, Nanjing, Jiangsu, 210042, China|Affiliated Hospital of Jiujiang University, Jiujiang, Jiangxi, 332000, China|The Second Hospital of Jilin University, Changchun, Jilin, 130041, China|Panjin Liaoyou Gem Flower Hospital, Panjin, Liaoning, 124000, China|The First Affiliated Hospital of China Medical University, Shenyang, Liaoning, 110000, China|Air Force Medical University, Xi'an, Shaanxi, 710032, China|The Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shaanxi, 710061, China|Shengli Oil Field Central Hospital, Dongying, Shandong, 25700, China|Shandong First Medical University Affiliated Dermatology Hospital, Jinan, Shandong, 250022, China|Qilu Hospital of Shandong University, Jinan, Shandong, 250063, China|The Affiliated Hospital Of Qingdao University, Qingdao, Shandong, 266000, China|Huashan Hospital Affiliated to Fudan University, Shanghai, Shanghai, 200040, China|Tianjin Academy of Traditional Chinese Medicine Affiliated Hospital, Tianjin, Tianjin, 300122, China|Xinjiang Uygur Autonomous Region People's Hospital, ÃœrÃ¼mqi, Xinjiang Uygur Autonomous Region, 830000, China|The First Affiliated Hospital of Kunming Medical University, Kunming, Yunnan, 650000, China|The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, 310003, China|The Second Affiliated Hospital Zhejiang University School of Medicine, Hangzhou, Zhejiang, 310009, China|The First People's Hospital of Wenling, Wenling, Zhejiang, 317500, China","Chia Tai Tianqing Pharmaceutical Group Co., Ltd."
