Disease,NCT Number,Study Title,Study URL,Study Results,Sex,Age,Phases,Conditions 1,Conditions 2,Conditions 3,Conditions 4,Conditions 5,Interventions 1,Interventions 2,Interventions 3,Interventions 4,Interventions 5,Locations_1,Locations_2,Locations_3,Principal Investigators 1,Principal Investigators 2,Principal Investigators 3,,
Atopic Dermatitis,NCT05399368,An Efficacy and Safety Study of RPT193 in Adults With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05399368,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: RPT193,OTHER: Placebo,,,,"Cahaba Dermatology and Skin Health Center, Birmingham, Alabama, 35244, United States","Perseverance Research Center, Scottsdale, Arizona, 85254, United States","Arkansas Research Trials, LLC, North Little Rock, Arkansas, 72117, United States",,,,,
Atopic Dermatitis,NCT06116526,Dupilumab De-escalation in Pediatric Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06116526,NO,ALL,CHILD,PHASE4,Atopic Dermatitis,,,,,DRUG: Dupilumab - Discontinuation,DRUG: Dupilumab - Dose Reduction,DRUG: Dupilumab - Standard Dose,,,"Johns Hopkins Univerisity, Baltimore, Maryland, 21210, United States",,,Joy Wan,,,,
Atopic Dermatitis,NCT06492902,Adding Auricular Acupuncture to Xiao-Feng-San Decoction for Treating Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06492902,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Auricular acupuncture,OTHER: Sham auricular acupuncture,,,,"University of Medical Center HCMC - Branch no.3, Ho Chi Minh City, 700000, Vietnam","Traditional Medicine Hospital of Ho Chi Minh City, Ho Chi Minh City, 70000, Vietnam",,Nga Th Tran,,,,
Atopic Dermatitis,NCT05844618,Short-Term Efficacy of Triamcinolone Acetonide (AristocortÂ® C) in Subjects With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05844618,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Atopic Dermatitis,,,,,DRUG: Triamcinolone Acetonide (AristocortÂ® C),DRUG: Vehicle,,,,"Innovaderm Research Inc., MontrÃ©al, Quebec, H2X 2V1, Canada",,,Robert Bissonnette,,,,
Atopic Dermatitis,NCT05090982,Creation of a Shared Medical Decision-making Tool for Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05090982,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Audio recordings during the consultations,OTHER: Audio recordings during the consultations and test of the shared medical decision-making tool for modification,OTHER: Audio recordings during the consultations and test of the shared medical decision-making tool for validation,,,"Hospital Henri Mondor, CrÃ©teil, 64010, France",,,Pierre-AndrÃ© Natella,,,,
Atopic Dermatitis,NCT06238817,"A Study to Evaluate the Efficacy, and Safety Study of Ruxolitinib Cream in Adults With Moderate Atopic Dermatitis",https://clinicaltrials.gov/study/NCT06238817,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Ruxolitinib Cream,DRUG: Vehicle Cream,,,,"Lynn Institute of the Ozarks, Little Rock, Arkansas, 72204, United States","First Oc Dermatology, Fountain Valley, California, 92708, United States","Center For Dermatology Cosmetic and Laser Surgery, Fremont, California, 94538, United States",Incyte Medical Monitor,,,,
Atopic Dermatitis,NCT05439941,A Long-Term Extension Trial in Participants With Atopic Dermatitis Who Participated in Previous EDP1815 Trials,https://clinicaltrials.gov/study/NCT05439941,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: EDP1815,,,,,"USA-131, Birmingham, Alabama, 35244, United States","USA 112, Fountain Valley, California, 92708, United States","USA 123, Fremont, California, 94538, United States",,,,,
Atopic Dermatitis,NCT04826744,Frequency of Palpebral Involvement in Adult With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04826744,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Standard dermatology consultation,,,,,"Hop Claude Huriez Chu Lille, Lille, 59037, France","Hopital Charles Nicolle Chu Rouen, Rouen, France",,Delphine Staumont-Salle,,,,
Atopic Dermatitis,NCT04218877,The Factors Affecting Atopic Dermatitis in Children Age 1-3,https://clinicaltrials.gov/study/NCT04218877,NO,ALL,CHILD,,Atopic Dermatitis,,,,,OTHER,,,,,"Amedclinic, Moscow, 129626, Russian Federation",,,,,,,
Atopic Dermatitis,NCT06444165,Lebrikizumab Pen Ease of Use in Participants With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06444165,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Lebrikizumab Pen,,,,,"Concentrics Research, Indianapolis, Indiana, 46240, United States",,,Call 1-877- (1-877-285-4559) or 1-317-615-4559 : Mon - Fri 9  - 5  Eastern time (/ - 5 hours,,,,
Atopic Dermatitis,NCT04435392,Jaktinib Hydrochloride Cream For Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04435392,NO,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,Atopic Dermatitis,,,,,DRUG: Jaktinib Hydrochloride Cream,DRUG: Placebo,,,,"The Second Xiangya Hospital of Central South University, Changsha, Hunan, 410008, China",,,Qianjin Lu,,,,
Atopic Dermatitis,NCT05437887,Effects of Fucoidan on the Gut Microbiota in the Patients of Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05437887,NO,ALL,"CHILD, ADULT",,Atopic Dermatitis,,,,,DIETARY_SUPPLEMENT: Fucoidan,,,,,"Chang Gung Memorial Hospital, Taoyuan, Taiwan",,,Sien-hung Yang,,,,
Atopic Dermatitis,NCT06024499,Phase 2 Trial of HY209gel in Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT06024499,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,Atopic Dermatitis Eczema,Atopic Dermatitis of Scalp,,,DRUG: HY209GEL Active,OTHER: Placebo,,,,"Cahaba Dermatology Skin Health Center, Birmingham, Alabama, 35244, United States","RAOOF MD Dermatology, Encino, California, 16133, United States","Continental Clinical Solutions, LLC, Towson, Maryland, 21204, United States",,,,,
Atopic Dermatitis,NCT05509023,Evaluating Safety and Efficacy of ADX-914 in Patients With Moderate to Severe Atopic Dermatitis (SIGNAL-AD),https://clinicaltrials.gov/study/NCT05509023,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: ADX-914,DRUG: Placebo,,,,"Cahaba Dermatology Skin Health Center, Birmingham, Alabama, 35244, United States","First OC Dermatology, Fountain Valley, California, 92708, United States","California Allergy and Asthma Medical Group- Los Angeles, Los Angeles, California, 90025, United States",,,,,
Atopic Dermatitis,NCT05868824,Dynamic Blood Inflammatory Profile in Atopic Dermatitis Patients (ADAMUNE),https://clinicaltrials.gov/study/NCT05868824,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Blood sample,,,,,"Nice University Hospital, Nice, 06200, France",,,,,,,
Atopic Dermatitis,NCT05391061,A Study to Learn About the Study Medicine (Called Cibinqo) in People With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05391061,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,"Dermatitis, Atopic",,,,,DRUG: Abrocitinib,,,,,"Pfizer Tower, Seoul, 04631, Korea, Republic of",,,,,,,
Atopic Dermatitis,NCT06361992,Efficacy and Safety of Blue Cap for the Treatment of Atopic Dermatitis in Children,https://clinicaltrials.gov/study/NCT06361992,NO,ALL,"CHILD, ADULT",PHASE3,Atopic Dermatitis,Atopic Dermatitis and Related Conditions,Atopic Dermatitis Eczema,Atopic Dermatitis \(AD\),,OTHER: Blue Cap Foam,,,,,"University of NiÅ¡ Faculty of Medicine, Department of Dermatology and Venereology, University Clinical Center of NiÅ¡, NiÅ¡, NiÅ¡ava, 18108, Serbia","City Institute for Skin and Venereal Diseases Belgrade, Belgrade, 11000, Serbia","University of Belgrade Faculty of Medicine, University Clinical Center of Serbia, Belgrade, 11000, Serbia",,,,,
Atopic Dermatitis,NCT05276323,MedihoneyÂ® Derma Cream Treatment for Mild to Moderate Atopic Dermatitis in Children Study,https://clinicaltrials.gov/study/NCT05276323,NO,ALL,"CHILD, ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: Medihoney Derma Cream,DRUG: Hydrocortisone 1% cream,,,,"Soroka University Medical Center, Beer Sheva, Israel",,,,,,,
Atopic Dermatitis,NCT06035835,Probiotics and Breastmilk Decrease Risk of Atopic Dermatitis in Premature Infants,https://clinicaltrials.gov/study/NCT06035835,NO,ALL,CHILD,,Atopic Dermatitis,,,,,COMBINATION_PRODUCT: Lacticaseibacillus rhamnosus,COMBINATION_PRODUCT: Lactobacillus acidophilus + Bifidobacterium bifidum,,,,,,,JosÃ© Uberos-FernÃ¡ndez,,,,
Atopic Dermatitis,NCT04556461,Effects of Tralokinumab Treatment of Atopic Dermatitis on Skin Barrier Function,https://clinicaltrials.gov/study/NCT04556461,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: Tralokinumab,,,,,"UKSH, Campus Kiel, Kiel, Schleswig-Holstein, 24105, Germany",,,,,,,
Atopic Dermatitis,NCT06129136,The Effect of Nature-based Exposure on the Immune System and Skin Health of Atopic Dermatitis Patients.,https://clinicaltrials.gov/study/NCT06129136,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Nature-based exposure by biodiversity component in lotion.,OTHER: Placebo group using colored lotion.,,,,"Uute Scientific Oy, Helsinki, 00290, Finland",,,Olli Laitinen,,,,
Atopic Dermatitis,NCT05644691,Impact of the Daily Use of Emollient on Corticosteroids Consumption in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05644691,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Lipikar Baume AP+M,OTHER: Usual emollient,,,,"DOST, SvidnÃ­k, 08901, Slovakia",,,,,,,
Atopic Dermatitis,NCT06238765,CorEvitas International Adolescent Atopic Dermatitis (AD) Drug Safety and Effectiveness Registry,https://clinicaltrials.gov/study/NCT06238765,NO,ALL,CHILD,,Atopic Dermatitis,,,,,,,,,,"CorEvitas, LLC, Waltham, Massachusetts, 02451, United States",,,,,,,
Atopic Dermatitis,NCT05023668,China Atopic Dermatitis Registry Study,https://clinicaltrials.gov/study/NCT05023668,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,"Dermatitis, Atopic",,,,,OTHER: No intervention,,,,,"Peking University People's Hospital, Beijing, Beijing, 100044, China",,,Jianzhong Zhang,,,,
Atopic Dermatitis,NCT04310189,The Role of IL-22/IL-22BP Axis in Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04310189,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,PROCEDURE: Biopsy,,,,,"Nantes University Hospital, Nantes, France",,,SÃ©bastien,,,,
Atopic Dermatitis,NCT05455060,Effects of a Mixed Chinese Herbal Formula on Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05455060,NO,ALL,"CHILD, ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Chinese herbal formula (CHF),DRUG: Placebo,,,,,,,,,,,
Atopic Dermatitis,NCT05034822,Study of Ruxolitinib Cream in Children With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05034822,NO,ALL,CHILD,PHASE1,Atopic Dermatitis,,,,,DRUG: Ruxolitinib cream,,,,,"Desert Sky Dermatology, Gilbert, Arizona, 85295, United States","Burke Pharmaceutical Research, Hot Springs National Park, Arkansas, 71913, United States","Orange County Research Center, Anaheim, California, 92801, United States",Haq Nawaz,,,,
Atopic Dermatitis,NCT04444726,Phototherpy Versus Tapwater Iontophoresis for Management of Atopic Dermatitis in Children.,https://clinicaltrials.gov/study/NCT04444726,NO,ALL,CHILD,,Atopic Dermatitis,,,,,DEVICE: Ultra Violet A Device.+ Topical medical treatment,DEVICE: Iontophoresis device + Topical medical treatment,"DRUG: Topical medical treatment (Betamethasone dipropionate 0.05% "" diprolene "" )",,,"Banha University, BanhÄ, Egypt",,,,,,,
Atopic Dermatitis,NCT06363461,Study of TDM-180935 in Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT06363461,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: TDM-180935 topical ointment 1.0%,DRUG: TDM-180935 topical ointment 2.0%,DRUG: TDM-180935 topical vehicle ointment 1,DRUG: TDM-180935 topical vehicle ointment 2,,"Site 5, Rolling Meadows, Illinois, 60008, United States","Site 8, Covington, Louisiana, 70433, United States","Site 4, New Brighton, Minnesota, 55112, United States",Daniel J. Piacquadio,,,,
Atopic Dermatitis,NCT05669794,An Observational Study to Assess Change in Disease Activity and Use of Upadacitinib Tablets in Adolescent and Adult Participants With Moderate to Severe Atopic Dermatitis in Real World,https://clinicaltrials.gov/study/NCT05669794,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,,,,,,"Ch Saint Quentin /Id# 249270, St Quentin CEDEX, Aisne, 02321, France","CHU Clermont-Ferrand /ID# 248611, Clermont, Auvergne-Rhone-Alpes, 63100, France","Hopital Saint Joseph /ID# 255537, Marseille, Bouches-du-Rhone, 13008, France",.,,,,
Atopic Dermatitis,NCT06397781,Effect of S. Aureus Skin Decolonization on Disease Severity in Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT06397781,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,Atopic Dermatitis,,,,,DRUG: Skin Cleanser Combination No.1,,,,,,,,,,,,
Atopic Dermatitis,NCT06022874,The Therapeutic Effects of Topical Cannabidiol (CBD) Products for Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06022874,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,OTHER: Phoilex Releaf Gel,,,,,"Phoenix Medical Spa X Peak Human, Brampton, Ontario, L6W 3E1, Canada",,,Sanjeev Goel,,,,
Atopic Dermatitis,NCT05694884,Study of Eblasakimab in Male or Female Moderate-to-Severe Atopic Dermatitis Patients Previously Treated With Dupilumab,https://clinicaltrials.gov/study/NCT05694884,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: Placebo,DRUG: ASLAN004,,,,"ASLAN Investigative Site, Birmingham, Alabama, 35244, United States","ASLAN Investigative Site, Encino, California, 91436, United States","ASLAN Investigative Site, Fountain Valley, California, 92708, United States",Chief Medical Officer,,,,
Atopic Dermatitis,NCT06412094,Use of a Mobile Health App in Managing Pediatric Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06412094,NO,ALL,CHILD,,Atopic Dermatitis,,,,,OTHER: Standard care,"BEHAVIORAL: Access to the ""AtopicApp"" mobile application",BEHAVIORAL: Virtual oversight through the AtopicApp,,,"Samara State Medical University, Samara, 443079, Russian Federation",,,Natalia Migacheva,,,,
Atopic Dermatitis,NCT05158023,Phase 2b Study of ASLAN004 in Adults With Moderate-to-Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05158023,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: Placebo Comparator,BIOLOGICAL: ASLAN004,BIOLOGICAL: ASLAN004,BIOLOGICAL: ASLAN004,BIOLOGICAL: ASLAN004,"ASLAN Investigative Site, Birmingham, Alabama, 35209, United States","ASLAN Investigative Site, Birmingham, Alabama, 35244, United States","ASLAN Investigative Site, Little Rock, Arkansas, 72205, United States",Chief Medical Officer,,,,
Atopic Dermatitis,NCT05717920,A Clinical Trial in Subjects With Atopic Dermatitis (Part 1),https://clinicaltrials.gov/study/NCT05717920,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: Part 1 ADX-629 (Open-label),,,,,"Bexley Dermatology Research, Bexley, Ohio, 43209, United States",,,,,,,
Atopic Dermatitis,NCT05398445,A Study Evaluating Rocatinlimab in Moderate-to-severe Atopic Dermatitis (ROCKET-IGNITE),https://clinicaltrials.gov/study/NCT05398445,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Rocatinlimab,DRUG: Placebo,,,,"Cahaba Dermatology and Skin Health Center, Birmingham, Alabama, 35244, United States","Alliance Dermatology and Mohs Center, Phoenix, Arizona, 85032, United States","Anaheim Clinical Trials, Anaheim, California, 92801, United States",,,,,
Atopic Dermatitis,NCT03559075,Clinical vs. Anecdotal Evidence - Pediatric Atopic Dermatitis,https://clinicaltrials.gov/study/NCT03559075,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,,,,,,"Wake Forest Baptist Medical Center, Winston-Salem, North Carolina, 27157, United States",,,Stevan Feldman,,,,
Atopic Dermatitis,NCT06176040,A Study of TAVO101 in Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT06176040,NO,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: TAVO101,,,,,"Optimal Clinical Trials, Auckland, New Zealand",,,Penelope Montgomery,,,,
Atopic Dermatitis,NCT04564755,Abrocitinib Expanded Access Protocol in Adolescents and Adults With Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04564755,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,DRUG: abrocitinib,,,,,"Cahaba Dermatology and Skin Health Center, Birmingham, Alabama, 35244, United States","Antelope Valley Clinical Trials, Lancaster, California, 93534, United States","Allergy & Asthma Care Center, Long Beach, California, 90808, United States",Pfizer .gov Call Center,,,,
Atopic Dermatitis,NCT05121480,"A Study Investigating the Effect of EDP1815 in the Treatment of Mild, Moderate and Severe Atopic Dermatitis",https://clinicaltrials.gov/study/NCT05121480,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,Atopic Dermatitis,,,,,DRUG: EDP1815,DRUG: Placebo,,,,"USA-131, Birmingham, Alabama, 35244, United States","USA-112, Fountain Valley, California, 92708, United States","USA-123, Fremont, California, 94538, United States",Benjamin Ehst,Yanislav Mihaylov,,,
Atopic Dermatitis,NCT05436535,Longitudinal Endotyping Of Atopic Dermatitis Through Transcriptomic Skin Analysis,https://clinicaltrials.gov/study/NCT05436535,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,Atopic Dermatitis,,,,,BIOLOGICAL: Dupilumab,DRUG: Vanicream- Dupilumab-naÃ¯ve,DRUG: Triamcinolone Acetonide,DRUG: Hydrocortisone,DRUG: Vanicream- Active,"University of California, San Diego: Dermatology Clinical Trials Unit, La Jolla, California, 92093, United States","Children's Hospital Los Angeles: Division of Clinical Immunology & Allergy, Los Angeles, California, 90027, United States","National Jewish Health: Division of Pediatric Allergy and Clinical Immunology, Denver, Colorado, 80206, United States",,,,,
Atopic Dermatitis,NCT05081557,"A Study to Assess Real-World Use, Safety, and Effectiveness of Oral Upadacitinib in Adult and Adolescent (>=12 Years Old) Participants With Atopic Dermatitis",https://clinicaltrials.gov/study/NCT05081557,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,,,,,,"Hospital Universitario Austral /ID# 241607, Pilar, Buenos Aires, 1629, Argentina","Buenos Aires Skin /ID# 241606, Ciudad Autonoma de Buenos Aire, Ciudad Autonoma De Buenos Aires, 1055, Argentina","CEDIC Centro de Investigaciones Clinicas /ID# 241605, Ciudad Autonoma de Buenos Aire, Ciudad Autonoma De Buenos Aires, 1425, Argentina",.,,,,
Atopic Dermatitis,NCT04761978,Efficacy and Tolerance of JAK Inhibitors in ATU for Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04761978,NO,ALL,"ADULT, OLDER_ADULT",,"Dermatitis, Atopic",,,,,,,,,,"Hop Claude Huriez Chu Lille, Lisle-sur-Tarn, 59037, France",,,Delphine Staumont-Salle,,,,
Atopic Dermatitis,NCT06032403,Patient With Atopic Dermatitis' Needs for Self-management Support - Flexible Patient Centred Consultations,https://clinicaltrials.gov/study/NCT06032403,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,BEHAVIORAL: flexible patient centred consultations,,,,,"Gentofte University Hospital, Hellerup, Copenhagen, 2900, Denmark",,,,,,,
Atopic Dermatitis,NCT05704738,A Study to Evaluate Rocatinlimab (AMG 451) in Adolescent Subjects With Moderate-to-severe Atopic Dermatitis (AD),https://clinicaltrials.gov/study/NCT05704738,NO,ALL,CHILD,PHASE3,Atopic Dermatitis,,,,,DRUG: Rocatinlimab,DRUG: Placebo,,,,"Cahaba Dermatology and Skin Health Center, Birmingham, Alabama, 35244, United States","AllerVie Clinical Research- Cullman, Cullman, Alabama, 35058, United States","Eclipse Clinical Research, Tucson, Arizona, 85745, United States",,,,,
Atopic Dermatitis,NCT05014438,A Study of BMS-986166 or Branebrutinib for the Treatment of Participants With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05014438,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,"Dermatitis, Atopic",,,,,DRUG: BMS-986166,DRUG: Branebrutinib,OTHER: Placebo,,,"Local Institution - 0091, Fremont, California, 94538, United States","Local Institution - 0112, Brandon, Florida, 33511, United States","Local Institution - 0061, Coral Gables, Florida, 33134, United States",Bristol-Myers Squibb,,,,
Atopic Dermatitis,NCT05507580,A Study to Assess Treat-to-Target and Dosing Flexibility of Oral Upadacitinib Tablets in Adult Participants With Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05507580,NO,ALL,ADULT,PHASE4,Atopic Dermatitis,,,,,DRUG: Upadacitinib,,,,,"Holdsworth House Medical Practice /ID# 254028, Darlinghurst, New South Wales, 2010, Australia","Premier Specialist /ID# 246150, Kogarah, New South Wales, 2217, Australia","Veracity Clinical Research /ID# 246154, Woolloongabba, Queensland, 4102, Australia",.,,,,
Atopic Dermatitis,NCT05250115,A Study to Learn About Abrocitinib in Adult Patients With Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05250115,NO,ALL,"ADULT, OLDER_ADULT",,"Dermatitis, Atopic",,,,,,,,,,"Dermatologische Gemeinschaftspraxis Dres. Quist PartG, Mainz, Rheinland-pfalz, 55128, Germany","HautÃ¤rztliche Gemeinschaftspraxis, Ahaus, 48688, Germany","Praxis Dr. A. Magerl, Bensheim, 64625, Germany",Pfizer .gov Call Center,,,,
Atopic Dermatitis,NCT05502848,The Effect of Intervention and Mechanism of ICBT on Chronic Itching in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05502848,NO,ALL,ADULT,,Atopic Dermatitis,,,,,BEHAVIORAL: Internet Cognitive Behavior Therapy,,,,,,,,,,,,
Atopic Dermatitis,NCT05651711,A Study Assessing Rocatinlimab (AMG 451) Monotherapy in Moderate-to-severe Atopic Dermatitis (AD) (ROCKET-Horizon),https://clinicaltrials.gov/study/NCT05651711,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Rocatinlimab,OTHER: Placebo,,,,"Research Solutions of Arizona, PC, Litchfield Park, Arizona, 85340, United States","Center for Dermatology and Plastic Surgery, Scottsdale, Arizona, 85260, United States","Clinical Trials Institute of Northwest Arkansas, Fayetteville, Arkansas, 72703, United States",,,,,
Atopic Dermatitis,NCT05326672,Phase III Clinical Study of Benvitimod Cream in the Treatment of Mild to Moderate Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05326672,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Benvitimod Cream,DRUG: Placebo,,,,"Peking University People's Hospital, Beijing, China",,,,,,,
Atopic Dermatitis,NCT05882877,"A Study to Assess Long-term Safety, Tolerability, and Efficacy of Rocatinlimab in Adult and Adolescent Participants With Moderate-to-severe Atopic Dermatitis (AD)",https://clinicaltrials.gov/study/NCT05882877,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: Rocatinlimab,OTHER: Placebo,,,,"Cahaba Dermatology and Skin Health Center, Birmingham, Alabama, 35244, United States","Medical Dermatology Specialists, Phoenix, Arizona, 85006, United States","Alliance Dermatology and Mohs Center, Phoenix, Arizona, 85032, United States",,,,,
Atopic Dermatitis,NCT05614817,CBP-201 in Adolescent and Adult Patients With Moderate-to-severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05614817,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,DRUG: CBP-201,DRUG: Placebo,,,,,,,Suzhou Connect,,,,
Atopic Dermatitis,NCT05984420,Comparison of LimpiAD Cream 2.5% Plus Versus Its Vehicle and and a Basic Emollient in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05984420,NO,ALL,CHILD,,Atopic Dermatitis,,,,,"DEVICE: LimpiAD 2,5% plus cream",OTHER: Vehicle,OTHER: Emollient,,,"Dr. Chianese Pierluigi, Castellammare di Stabia, Napoli, 80053, Italy","Dr. Carlomagno Francesco, Nola, Napoli, 80035, Italy","Dr. D'Onofrio Antonietta, Pomigliano d'Arco, Napoli, 80038, Italy",Ruggiero Giuseppe,,,,
Atopic Dermatitis,NCT05099315,Microbiome in Atopic Dermatitis Under Systemic Therapy,https://clinicaltrials.gov/study/NCT05099315,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,"OTHER: not applicable, observational study",,,,,"Dpt of Dermatology and Allergology, CharitÃ© - UniversitÃ¤tsmedizin Berlin, Berlin, 10117, Germany",,,,,,,
Atopic Dermatitis,NCT05215808,SAD/MAD Safety and PK Study of RBN-3143 in Healthy and Atopic Dermatitis Subjects,https://clinicaltrials.gov/study/NCT05215808,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,Atopic Dermatitis,,,,,DRUG: RBN-3143,,,,,"Veracity Clinical Research, Woolloongabba, Queensland, Australia","CMAX Clinical Research Pty Ltd, Adelaide, SA 5000, Australia","Optimal Clinical Trials, Auckland, New Zealand",,,,,
Atopic Dermatitis,NCT05916365,Long-term Safety and Efficacy of Lebrikizumab in Adult and Adolescent Participant With Moderate-to-Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05916365,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,Atopic Dermatitis,,,,,BIOLOGICAL: Lebrikizumab,,,,,"Investigator Site 7, Darmstadt, Hessen, 64283, Germany","Investigator Site 8, Frankfurt, Hessen, 60590, Germany","Investigator Site 9, OsnabrÃ¼ck, Lower Saxony, 49074, Germany",Aleksandra Stjepanovic,,,,
Atopic Dermatitis,NCT06194045,Nutritional Study to Determine the Effect of Fish Oil on Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06194045,NO,ALL,"ADULT, OLDER_ADULT",,Atopic Dermatitis,,,,,DIETARY_SUPPLEMENT: LC-MUFA oil,DIETARY_SUPPLEMENT: Placebo,,,,"Helse MÃ¸re og Romsdal HF, Ã…lesund, MÃ¸re Og Romsdal, 6017, Norway",,,Dag Arne Lihaug Hoff,,,,
Atopic Dermatitis,NCT03710044,Investigation of Flare and Remission in Subjects With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT03710044,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,Atopic Dermatitis,,,,,DRUG: Cyclosporine A,,,,,"Investigational site, Rotterdam, 3015 GD, Netherlands",,,Medical Expert,,,,
Atopic Dermatitis,NCT06366932,Optimization of Atopic Dermatitis Treatment That Requires Second-line Systemic Therapy Through Predictive Models,https://clinicaltrials.gov/study/NCT06366932,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,Atopic Dermatitis,,,,,DRUG: Second-line systemic treatment,OTHER: Folllow-up of second-line systemic treatment already started,,,,"Hospital La Paz, Madrid, 28046, Spain",,,Irene GarcÃ­a,,,,
